CrwCompanyID;Name
1;Lidl
2;Media Markt
4;Aldi Süd
5;Rossmann
6;Thomas-Philipps
7;Aldi Nord
9;Müller Drogerie
10;Netto Marken-Discount
11;Saturn
12;Tchibo
16;Real
17;Hit
18;Atu
19;Conrad
20;Metro
21;Alnatura
22;Basic
23;Baywa
24;Berlet
25;BioMarkt
26;Das Futterhaus
27;denn's Biomarkt
28;DM
29;Edeka
30;Famila
31;Fressnapf
32;Ikea
33;Kaufland
34;Kölle-Zoo
35;Marktkauf
36;Norma
37;Penny
38;Rewe
40;Tengelmann
41;Kaiser's
42;Tedi
43;Vitalia
44;VollCorner
45;ZOO & Co.
46;Douglas
47;Lush
48;Dursty
49;Feneberg
50;FRISTO Getränkemarkt
51;nahkauf
52;Orterer
53;Tegut
54;Temma
55;toom-Getränkemarkt
56;V-Markt
57;Bilgro Getränkemarkt
58;mymuesli
59;Karstadt Lebensmittel
60;MEGAZOO
61;Zookauf
62;Kiebitz Markt
63;Gravis
64;Base
65;Vodafone
66;GameStop
67;yourfone
68;Burger King
69;McDonald's
70;Call a Pizza
71;Hallo Pizza
72;KFC
73;Starbucks
74;Kodi
75;Mäc-Geiz
76;EuroShop
77;Obi
78;Adler
79;Ernsting's family
80;Deichmann
82;H&M
83;testtt
84;TEST2
85;TEST 3
86;Kik
87;Telekom
88;Cyberport
89;Euromaster
90;Hein Gericke
91;Louis
92;Pitstop
93;Polo Motorrad
94;Vergölst
95;Carglass
96;Netto Reifen-Räder Discount
97;Pneuhage
98;Point S
99;reifen.com
100;Hagebaumarkt
101;Pflanzen-Kölle
102;toom Baumarkt
103;Bauhaus
104;Dehner
105;Frick Fachmärkte
106;Hellweg
107;Sonderpreis-Baumarkt
108;McPaper
109;Staples
110;Weltbild
111;Weltbild
112;Reno
113;Wöhrl
114;Wormland
115;Wormland
116;BabyOne
117;Dänisches Bettenlager
118;Electronic Partner
119;expert TechnoMarkt
120;Höffner
121;NKD
122;Zalando
123;Galeria Kaufhof
124;Karstadt
125;Woolworth
126;Toysrus
127;Poco
128;Segmüller
129;Matratzen Concord
130;Roller
131;Sconto Möbel
132;Who's Perfect
133;Globetrotter Ausrüstung
134;Intersport
135;Karstadt Sports
136;SportScheck
137;Zeg
138;Decathlon
139;Planet Sports
140;Netto
141;Treff 3000
142;WEZ
143;NP
145;Galeria Kaufhof
146;Mercedes-Benz
147;Globus
148;Hirmer
149;Mömax
150;Globus Baumarkt
151;Alphatecc
152;Europafoto
153;Euronics
154;B1
155;Zimmermann Sonderposten
156;Sky-Supermarkt
157;Pfennigpfeiffer
158;Ihr Platz
159;Depot
160;Hammer
161;Wasgau
162;Combi
163;Getränke City
164;Teppich-Kibek
925;K+K Klaas und Kock
