CityName;Latitude;Longitude;PostalCode;CountryCode
Aach;47.8405;8.85675;78267;DE
Aach;49.7894;6.5907;54298;DE
Aachen;50.7533;6.11239;52066;DE
Aachen;50.7926;6.15972;52080;DE
Aachen;50.8247;6.04407;52072;DE
Aachen;50.7681;6.08015;52064;DE
Aachen;50.7507;6.16339;52078;DE
Aachen;50.7959;6.09589;52070;DE
Aachen;50.7149;6.14908;52076;DE
Aachen;50.778;6.08877;52062;DE
Aachen;50.7794;6.1339;52068;DE
Aachen;50.778;6.04041;52074;DE
Aalen;48.8259;10.1005;73431;DE
Aalen;48.8706;10.0234;73434;DE
Aalen;48.8479;10.0822;73430;DE
Aalen;48.8708;10.1101;73433;DE
Aalen;48.8247;10.1721;73432;DE
Aarbergen;50.2482;8.08146;65326;DE
Aasbüttel;54.0662;9.43886;25560;DE
Abbenrode;51.9265;10.6284;38871;DE
Abberode;51.635;11.311;06543;DE
Abenberg;49.2417;10.9635;91183;DE
Abensberg;48.8177;11.8508;93326;DE
Abentheuer;49.6493;7.10114;55767;DE
Absberg;49.1449;10.8716;91720;DE
Abstatt;49.0688;9.28867;74232;DE
Abtlöbnitz;51.0792;11.7199;06628;DE
Abtsbessingen;51.2615;10.7627;99713;DE
Abtsdorf;51.8891;12.7276;06888;DE
Abtsgmünd;48.8911;10.0017;73453;DE
Abtsteinach;49.5354;8.78677;69518;DE
Abtswind;49.7708;10.3723;97355;DE
Abtweiler;49.7439;7.6566;55568;DE
Achberg;47.6151;9.714;88147;DE
Achern;48.63;8.0347;77855;DE
Achim;53.023;9.07265;28832;DE
Achim;52.0598;10.6114;38312;DE
Achslach;48.9713;12.9367;94250;DE
Achstetten;48.2614;9.89515;88480;DE
Acht;50.3698;7.07226;56729;DE
Achtelsbach;49.6257;7.08991;55767;DE
Achterwehr;54.3167;9.96667;24239;DE
Achtrup;54.7906;9.02869;25917;DE
Ackendorf;52.2237;11.4405;39343;DE
Adamshoffnung;53.4469;12.3637;17213;DE
Adelberg;48.7625;9.59943;73099;DE
Adelebsen;51.5802;9.75632;37139;DE
Adelheidsdorf;52.5641;10.0595;29352;DE
Adelmannsfelden;48.9543;10.0034;73486;DE
Adelschlag;48.8396;11.2186;85111;DE
